Municipio;Tipo de dato;Periodo;Total
03056 Cocentaina;Índice;2012;101,063
03056 Cocentaina;Índice;2011;97,455
03056 Cocentaina;Variación anual;2023;0,9
03056 Cocentaina;Variación anual;2022;1,8
03056 Cocentaina;Variación anual;2021;0,6
03056 Cocentaina;Variación anual;2020;1,4
03056 Cocentaina;Variación anual;2019;0,5
03056 Cocentaina;Variación anual;2018;2,7
03056 Cocentaina;Variación anual;2017;1,4
03056 Cocentaina;Variación anual;2016;3,7
03056 Cocentaina;Variación anual;2015;3
03056 Cocentaina;Variación anual;2014;-2
03056 Cocentaina;Variación anual;2013;-2
03056 Cocentaina;Variación anual;2012;3,7
03056 Cocentaina;Variación anual;2011;..
03059 Crevillent;Índice;2023;115,203
03059 Crevillent;Índice;2022;113,007
03059 Crevillent;Índice;2021;111,282
03059 Crevillent;Índice;2020;107,383
03059 Crevillent;Índice;2019;106,398
03059 Crevillent;Índice;2018;104,175
03059 Crevillent;Índice;2017;100,754
03059 Crevillent;Índice;2016;101,049
03059 Crevillent;Índice;2015;100
03059 Crevillent;Índice;2014;101,191
03059 Crevillent;Índice;2013;102,19
03059 Crevillent;Índice;2012;104,832
03059 Crevillent;Índice;2011;103,877
03059 Crevillent;Variación anual;2023;1,9
03059 Crevillent;Variación anual;2022;1,6
03059 Crevillent;Variación anual;2021;3,6
03059 Crevillent;Variación anual;2020;0,9
03059 Crevillent;Variación anual;2019;2,1
03059 Crevillent;Variación anual;2018;3,4
03059 Crevillent;Variación anual;2017;-0,3
03059 Crevillent;Variación anual;2016;1
03059 Crevillent;Variación anual;2015;-1,2
03059 Crevillent;Variación anual;2014;-1
03059 Crevillent;Variación anual;2013;-2,5
03059 Crevillent;Variación anual;2012;0,9
03059 Crevillent;Variación anual;2011;..
03063 Dénia;Índice;2023;119,586
03063 Dénia;Índice;2022;115,997
03063 Dénia;Índice;2021;112,346
03063 Dénia;Índice;2020;110,044
03063 Dénia;Índice;2019;108,964
03063 Dénia;Índice;2018;106,09
03063 Dénia;Índice;2017;103,788
03063 Dénia;Índice;2016;102,15
03063 Dénia;Índice;2015;100
03063 Dénia;Índice;2014;99,468
03063 Dénia;Índice;2013;99,526
03063 Dénia;Índice;2012;101,677
03063 Dénia;Índice;2011;104,084
03063 Dénia;Variación anual;2023;3,1
03063 Dénia;Variación anual;2022;3,3
03063 Dénia;Variación anual;2021;2,1
03063 Dénia;Variación anual;2020;1
03063 Dénia;Variación anual;2019;2,7
03063 Dénia;Variación anual;2018;2,2
03063 Dénia;Variación anual;2017;1,6
03063 Dénia;Variación anual;2016;2,2
03063 Dénia;Variación anual;2015;0,5
03063 Dénia;Variación anual;2014;-0,1
03063 Dénia;Variación anual;2013;-2,1
03063 Dénia;Variación anual;2012;-2,3
03063 Dénia;Variación anual;2011;..
03065 Elx/Elche;Índice;2023;120,426
03065 Elx/Elche;Índice;2022;117,181
03065 Elx/Elche;Índice;2021;113,958
03065 Elx/Elche;Índice;2020;111,003
03065 Elx/Elche;Índice;2019;109,509
03065 Elx/Elche;Índice;2018;105,717
03065 Elx/Elche;Índice;2017;103,31
03065 Elx/Elche;Índice;2016;101,504
03065 Elx/Elche;Índice;2015;100
03065 Elx/Elche;Índice;2014;98,274
03065 Elx/Elche;Índice;2013;98,545
03065 Elx/Elche;Índice;2012;101,217
03065 Elx/Elche;Índice;2011;103,226
03065 Elx/Elche;Variación anual;2023;2,8
03065 Elx/Elche;Variación anual;2022;2,8
03065 Elx/Elche;Variación anual;2021;2,7
