Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Andalucía;Almería;1 persona;2028;93.244
Total Nacional;Andalucía;Almería;1 persona;2027;89.954
Total Nacional;Andalucía;Almería;1 persona;2026;86.578
Total Nacional;Andalucía;Almería;1 persona;2025;83.189
Total Nacional;Andalucía;Almería;1 persona;2024;79.818
Total Nacional;Andalucía;Almería;2 personas;2039;116.034
Total Nacional;Andalucía;Almería;2 personas;2038;114.060
Total Nacional;Andalucía;Almería;2 personas;2037;112.026
Total Nacional;Andalucía;Almería;2 personas;2036;109.904
Total Nacional;Andalucía;Almería;2 personas;2035;107.773
Total Nacional;Andalucía;Almería;2 personas;2034;105.618
Total Nacional;Andalucía;Almería;2 personas;2033;103.442
Total Nacional;Andalucía;Almería;2 personas;2032;101.195
Total Nacional;Andalucía;Almería;2 personas;2031;98.859
Total Nacional;Andalucía;Almería;2 personas;2030;96.415
Total Nacional;Andalucía;Almería;2 personas;2029;93.842
Total Nacional;Andalucía;Almería;2 personas;2028;91.105
Total Nacional;Andalucía;Almería;2 personas;2027;88.239
Total Nacional;Andalucía;Almería;2 personas;2026;85.252
Total Nacional;Andalucía;Almería;2 personas;2025;82.233
Total Nacional;Andalucía;Almería;2 personas;2024;79.162
Total Nacional;Andalucía;Almería;3 personas;2039;67.574
Total Nacional;Andalucía;Almería;3 personas;2038;67.277
Total Nacional;Andalucía;Almería;3 personas;2037;66.964
Total Nacional;Andalucía;Almería;3 personas;2036;66.625
Total Nacional;Andalucía;Almería;3 personas;2035;66.258
Total Nacional;Andalucía;Almería;3 personas;2034;65.853
Total Nacional;Andalucía;Almería;3 personas;2033;65.403
Total Nacional;Andalucía;Almería;3 personas;2032;64.893
Total Nacional;Andalucía;Almería;3 personas;2031;64.298
Total Nacional;Andalucía;Almería;3 personas;2030;63.597
Total Nacional;Andalucía;Almería;3 personas;2029;62.781
Total Nacional;Andalucía;Almería;3 personas;2028;61.832
Total Nacional;Andalucía;Almería;3 personas;2027;60.747
Total Nacional;Andalucía;Almería;3 personas;2026;59.520
Total Nacional;Andalucía;Almería;3 personas;2025;58.197
Total Nacional;Andalucía;Almería;3 personas;2024;56.832
Total Nacional;Andalucía;Almería;4 personas o más;2039;81.446
Total Nacional;Andalucía;Almería;4 personas o más;2038;81.447
Total Nacional;Andalucía;Almería;4 personas o más;2037;81.474
Total Nacional;Andalucía;Almería;4 personas o más;2036;81.520
Total Nacional;Andalucía;Almería;4 personas o más;2035;81.549
Total Nacional;Andalucía;Almería;4 personas o más;2034;81.540
