País de nacimiento;Nacionalidad;Periodo;Total
Finlandia;Total;2021S2;444
Finlandia;Total;2021S1;393
Finlandia;Total;2020S2;344
Finlandia;Total;2020S1;308
Finlandia;Total;2019S2;460
Finlandia;Total;2019S1;467
Finlandia;Total;2018S2;507
Finlandia;Total;2018S1;524
Finlandia;Total;2017S2;550
Finlandia;Total;2017S1;509
Finlandia;Total;2016S2;485
Finlandia;Total;2016S1;416
Finlandia;Total;2015S2;435
Finlandia;Total;2015S1;415
Finlandia;Total;2014S2;456
Finlandia;Total;2014S1;419
Finlandia;Total;2013S2;467
Finlandia;Total;2013S1;403
Finlandia;Total;2012S2;531
Finlandia;Total;2012S1;386
Finlandia;Total;2011S2;538
Finlandia;Total;2011S1;420
Finlandia;Total;2010S2;508
Finlandia;Total;2010S1;408
Finlandia;Total;2009S2;360
Finlandia;Total;2009S1;317
Finlandia;Total;2008S2;317
Finlandia;Total;2008S1;398
Finlandia;Española;2022S1;13
Finlandia;Española;2021S2;14
Finlandia;Española;2021S1;5
Finlandia;Española;2020S2;8
Finlandia;Española;2020S1;8
Finlandia;Española;2019S2;7
Finlandia;Española;2019S1;14
Finlandia;Española;2018S2;6
Finlandia;Española;2018S1;10
Finlandia;Española;2017S2;8
Finlandia;Española;2017S1;10
Finlandia;Española;2016S2;8
Finlandia;Española;2016S1;9
Finlandia;Española;2015S2;12
Finlandia;Española;2015S1;8
Finlandia;Española;2014S2;5
Finlandia;Española;2014S1;3
Finlandia;Española;2013S2;8
Finlandia;Española;2013S1;3
Finlandia;Española;2012S2;7
Finlandia;Española;2012S1;4
Finlandia;Española;2011S2;4
Finlandia;Española;2011S1;8
Finlandia;Española;2010S2;4
Finlandia;Española;2010S1;7
Finlandia;Española;2009S2;1
Finlandia;Española;2009S1;3
Finlandia;Española;2008S2;6
Finlandia;Española;2008S1;7
Finlandia;Extranjero;2022S1;516
Finlandia;Extranjero;2021S2;430
Finlandia;Extranjero;2021S1;388
Finlandia;Extranjero;2020S2;336
Finlandia;Extranjero;2020S1;300
Finlandia;Extranjero;2019S2;453
Finlandia;Extranjero;2019S1;453
Finlandia;Extranjero;2018S2;501
Finlandia;Extranjero;2018S1;514
Finlandia;Extranjero;2017S2;542
Finlandia;Extranjero;2017S1;499
Finlandia;Extranjero;2016S2;478
Finlandia;Extranjero;2016S1;407
Finlandia;Extranjero;2015S2;423
Finlandia;Extranjero;2015S1;407
Finlandia;Extranjero;2014S2;451
Finlandia;Extranjero;2014S1;416
Finlandia;Extranjero;2013S2;459
Finlandia;Extranjero;2013S1;399
Finlandia;Extranjero;2012S2;524
Finlandia;Extranjero;2012S1;382
Finlandia;Extranjero;2011S2;534
Finlandia;Extranjero;2011S1;412
Finlandia;Extranjero;2010S2;504
Finlandia;Extranjero;2010S1;401
Finlandia;Extranjero;2009S2;359
Finlandia;Extranjero;2009S1;314
Finlandia;Extranjero;2008S2;311
Finlandia;Extranjero;2008S1;391
Francia;Total;2022S1;5.514
Francia;Total;2021S2;6.955
Francia;Total;2021S1;5.753
Francia;Total;2020S2;6.121
Francia;Total;2020S1;3.784
Francia;Total;2019S2;6.391
Francia;Total;2019S1;5.122
Francia;Total;2018S2;6.302
Francia;Total;2018S1;5.082
Francia;Total;2017S2;6.266
Francia;Total;2017S1;4.866
Francia;Total;2016S2;5.155
Francia;Total;2016S1;3.972
Francia;Total;2015S2;4.972
Francia;Total;2015S1;3.870
Francia;Total;2014S2;4.595
Francia;Total;2014S1;3.313
Francia;Total;2013S2;4.117
Francia;Total;2013S1;2.942
Francia;Total;2012S2;3.847
Francia;Total;2012S1;3.292
Francia;Total;2011S2;4.214
Francia;Total;2011S1;3.353
Francia;Total;2010S2;4.150
Francia;Total;2010S1;3.335
Francia;Total;2009S2;3.980
Francia;Total;2009S1;3.485
Francia;Total;2008S2;4.542
Francia;Total;2008S1;4.168
Francia;Española;2022S1;491
Francia;Española;2021S2;687
